timestamp,cpu_percent,cpu_interrupts,virtual_memory_total,virtual_memory_available,virtual_memory_used,virtual_memory_percent,swap_total,swap_used,swap_percent,disk_usage_total,disk_usage_used,disk_usage_percent,net_bytes_sent,net_bytes_recv
2025-11-07 14:36:11,9.2,153703739,17059594240,4590718976,12468875264,73.1,12348030976,81448960,0.7,511207010304,298878205952,58.5,334661801,27631904741
2025-11-07 14:36:22,19.8,153786474,17059594240,4638212096,12421382144,72.8,12348030976,81448960,0.7,511207010304,298881441792,58.5,334683376,27631964720
2025-11-07 14:36:33,6.7,153862728,17059594240,4645834752,12413759488,72.8,12348030976,81448960,0.7,511207010304,298881310720,58.5,334691386,27631977996
2025-11-07 14:36:44,8.7,153952226,17059594240,4936409088,12123185152,71.1,12348030976,85311488,0.7,511207010304,298881310720,58.5,334701907,27632046306
2025-11-07 14:36:55,9.8,154030642,17059594240,4918120448,12141473792,71.2,12348030976,85311488,0.7,511207010304,298875756544,58.5,334709855,27632061202
2025-11-07 14:37:06,9.1,154108635,17059594240,4940382208,12119212032,71.0,12348030976,85311488,0.7,511207010304,298875781120,58.5,334717092,27632112054
2025-11-07 14:37:17,13.9,154248908,17059594240,4873588736,12186005504,71.4,12348030976,85311488,0.7,511207010304,298876137472,58.5,334763221,27632417789
2025-11-07 14:37:28,11.7,154372268,17059594240,4793282560,12266311680,71.9,12348030976,85311488,0.7,511207010304,298874601472,58.5,334782322,27632708702
2025-11-07 14:37:39,40.7,154460852,17059594240,4827017216,12232577024,71.7,12348030976,85311488,0.7,511207010304,298874535936,58.5,334794276,27632726002
2025-11-07 14:37:50,12.4,154535246,17059594240,4836732928,12222861312,71.6,12348030976,85311488,0.7,511207010304,298874601472,58.5,334807890,27632770972
2025-11-07 14:38:01,9.8,154620809,17059594240,4846034944,12213559296,71.6,12348030976,85311488,0.7,511207010304,298874671104,58.5,334813581,27632817198
2025-11-07 14:38:12,8.7,154704987,17059594240,4847988736,12211605504,71.6,12348030976,85311488,0.7,511207010304,298874605568,58.5,334845512,27632884367
2025-11-07 14:38:23,8.6,154785376,17059594240,4873678848,12185915392,71.4,12348030976,85311488,0.7,511207010304,298874605568,58.5,334855934,27632918921
2025-11-07 14:38:34,9.1,154866188,17059594240,4876025856,12183568384,71.4,12348030976,85311488,0.7,511207010304,298874671104,58.5,334874249,27632969444
2025-11-07 14:38:45,9.1,154945769,17059594240,4872675328,12186918912,71.4,12348030976,85311488,0.7,511207010304,298874347520,58.5,334889532,27632993844
2025-11-07 14:38:56,14.9,155028034,17059594240,4874870784,12184723456,71.4,12348030976,85311488,0.7,511207010304,298874351616,58.5,334908743,27633042733
2025-11-07 14:39:07,48.7,155206797,17059594240,4719001600,12340592640,72.3,12348030976,85311488,0.7,511207010304,298874208256,58.5,334964398,27633853897
2025-11-07 14:39:18,11.4,155340384,17059594240,4675678208,12383916032,72.6,12348030976,85311488,0.7,511207010304,298874372096,58.5,334985523,27633923684
2025-11-07 14:39:29,9.9,155420940,17059594240,4668133376,12391460864,72.6,12348030976,85311488,0.7,511207010304,298874437632,58.5,334995817,27633950183
2025-11-07 14:39:40,11.4,155502457,17059594240,4699496448,12360097792,72.5,12348030976,85311488,0.7,511207010304,298874437632,58.5,335011219,27633989112
2025-11-07 14:39:51,21.3,155592623,17059594240,4628123648,12431470592,72.9,12348030976,85311488,0.7,511207010304,298874572800,58.5,335029244,27634014056
2025-11-07 14:40:02,10.9,155676674,17059594240,4630450176,12429144064,72.9,12348030976,85311488,0.7,511207010304,298874597376,58.5,335043269,27634064102
2025-11-07 14:40:13,9.2,155758347,17059594240,4640649216,12418945024,72.8,12348030976,85311488,0.7,511207010304,298876121088,58.5,335052514,27634076389
2025-11-07 14:40:24,34.8,155842687,17059594240,4671524864,12388069376,72.6,12348030976,85311488,0.7,511207010304,298876186624,58.5,335071665,27634137849
2025-11-07 14:40:35,15.0,155922053,17059594240,4673843200,12385751040,72.6,12348030976,85311488,0.7,511207010304,298877644800,58.5,335083380,27634158314
2025-11-07 14:40:46,9.2,156004613,17059594240,4633620480,12425973760,72.8,12348030976,85311488,0.7,511207010304,298878758912,58.5,335093659,27634201778
2025-11-07 14:40:57,9.6,156089200,17059594240,4626976768,12432617472,72.9,12348030976,85311488,0.7,511207010304,298879021056,58.5,335099922,27634214794
2025-11-07 14:41:08,9.3,156165845,17059594240,4679413760,12380180480,72.6,12348030976,85311488,0.7,511207010304,298879172608,58.5,335105778,27634250817
2025-11-07 14:41:19,13.2,156255828,17059594240,4664745984,12394848256,72.7,12348030976,85311488,0.7,511207010304,298879238144,58.5,335122510,27634280053
2025-11-07 14:41:30,9.1,156346228,17059594240,4664455168,12395139072,72.7,12348030976,85311488,0.7,511207010304,298879238144,58.5,335129813,27634331718
2025-11-07 14:41:41,18.2,156427328,17059594240,4662620160,12396974080,72.7,12348030976,85311488,0.7,511207010304,298879242240,58.5,335137500,27634348620
2025-11-07 14:41:52,8.5,156515988,17059594240,5064810496,11994783744,70.3,12348030976,103292928,0.8,511207010304,298879242240,58.5,335147711,27634390916
2025-11-07 14:42:03,9.1,156597781,17059594240,5027627008,12031967232,70.5,12348030976,103292928,0.8,511207010304,298878607360,58.5,335162062,27634409211
2025-11-07 14:42:14,8.7,156681148,17059594240,5020262400,12039331840,70.6,12348030976,103292928,0.8,511207010304,298878545920,58.5,335178995,27634454807
2025-11-07 14:42:25,49.0,156772906,17059594240,4964364288,12095229952,70.9,12348030976,98574336,0.8,511207010304,298878676992,58.5,335207589,27634503277
2025-11-07 14:42:36,9.2,156858698,17059594240,5018796032,12040798208,70.6,12348030976,98574336,0.8,511207010304,298878676992,58.5,335219600,27634544037
2025-11-07 14:42:47,7.4,156966426,17059594240,5003100160,12056494080,70.7,12348030976,98574336,0.8,511207010304,298878681088,58.5,335242341,27634587298
2025-11-07 14:42:58,15.0,157069892,17059594240,4964188160,12095406080,70.9,12348030976,98574336,0.8,511207010304,298880126976,58.5,335284695,27634690192
